is_china,date,cases,cum_cases
China,2020-01-22,548,548
China,2020-01-23,95,643
China,2020-01-24,277,920
China,2020-01-25,486,1406
China,2020-01-26,669,2075
China,2020-01-27,802,2877
China,2020-01-28,2632,5509
China,2020-01-29,578,6087
China,2020-01-30,2054,8141
China,2020-01-31,1661,9802
China,2020-02-01,2089,11891
China,2020-02-02,4739,16630
China,2020-02-03,3086,19716
China,2020-02-04,3991,23707
China,2020-02-05,3733,27440
China,2020-02-06,3147,30587
China,2020-02-07,3523,34110
China,2020-02-08,2704,36814
China,2020-02-09,3015,39829
China,2020-02-10,2525,42354
China,2020-02-11,2032,44386
China,2020-02-12,373,44759
China,2020-02-13,15136,59895
China,2020-02-14,6463,66358
China,2020-02-15,2055,68413
China,2020-02-16,2100,70513
China,2020-02-17,1921,72434
China,2020-02-18,1777,74211
China,2020-02-19,408,74619
China,2020-02-20,458,75077
China,2020-02-21,473,75550
China,2020-02-22,1451,77001
China,2020-02-23,21,77022
China,2020-02-24,219,77241
China,2020-02-25,513,77754
China,2020-02-26,412,78166
China,2020-02-27,434,78600
China,2020-02-28,328,78928
China,2020-02-29,428,79356
China,2020-03-01,576,79932
China,2020-03-02,204,80136
China,2020-03-03,125,80261
China,2020-03-04,125,80386
China,2020-03-05,151,80537
China,2020-03-06,153,80690
China,2020-03-07,80,80770
China,2020-03-08,53,80823
China,2020-03-09,37,80860
China,2020-03-10,27,80887
China,2020-03-11,34,80921
China,2020-03-12,11,80932
China,2020-03-13,13,80945
China,2020-03-14,32,80977
China,2020-03-15,26,81003
China,2020-03-16,30,81033
China,2020-03-17,25,81058
Not China,2020-01-22,7,7
Not China,2020-01-23,3,10
Not China,2020-01-24,11,21
Not China,2020-01-25,7,28
Not China,2020-01-26,15,43
Not China,2020-01-27,7,50
Not China,2020-01-28,19,69
Not China,2020-01-29,10,79
Not China,2020-01-30,14,93
Not China,2020-01-31,32,125
Not China,2020-02-01,22,147
Not China,2020-02-02,10,157
Not China,2020-02-03,8,165
Not China,2020-02-04,20,185
Not China,2020-02-05,10,195
Not China,2020-02-06,35,230
Not China,2020-02-07,51,281
Not China,2020-02-08,25,306
Not China,2020-02-09,15,321
Not China,2020-02-10,87,408
Not China,2020-02-11,8,416
Not China,2020-02-12,46,462
Not China,2020-02-13,11,473
Not China,2020-02-14,54,527
Not China,2020-02-15,90,617
Not China,2020-02-16,94,711
Not China,2020-02-17,113,824
Not China,2020-02-18,101,925
Not China,2020-02-19,95,1020
Not China,2020-02-20,100,1120
Not China,2020-02-21,153,1273
Not China,2020-02-22,305,1578
Not China,2020-02-23,365,1943
Not China,2020-02-24,384,2327
Not China,2020-02-25,332,2659
Not China,2020-02-26,570,3229
Not China,2020-02-27,925,4154
Not China,2020-02-28,1038,5192
Not China,2020-02-29,1463,6655
Not China,2020-03-01,1782,8437
Not China,2020-03-02,1733,10170
Not China,2020-03-03,2409,12579
Not China,2020-03-04,2155,14734
Not China,2020-03-05,2611,17345
Not China,2020-03-06,3749,21094
Not China,2020-03-07,3957,25051
Not China,2020-03-08,3921,28972
Not China,2020-03-09,3729,32701
Not China,2020-03-10,5004,37705
Not China,2020-03-11,7239,44944
Not China,2020-03-12,2467,47411
Not China,2020-03-13,16837,64248
Not China,2020-03-14,10872,75120
Not China,2020-03-15,11326,86446
Not China,2020-03-16,14052,100498
Not China,2020-03-17,15590,116088
